### Oracle tables with their properties and relationship:
#
# Databse tables 

# OE_ORDER_HEADERS_ALL stores header information for orders in Order Management.
# OE_ORDER_LINES_ALL stores information for all order lines in Oracle Order Management.

# Below is the column name and description of each column of oe_order_headers_all
#Column_Name	Column_Description
FULFILLED_QUANTITY2	Fulfilled quantity in ordered_quantity_uom2
FULFILLMENT_BASE	The column will store fulfillment base value
FULFILLMENT_DATE	Fulfillment Date for the Line
FULFILLMENT_METHOD_CODE	Fulfillment Method Code
GLOBAL_ATTRIBUTE1	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE10	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE11	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE12	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE13	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE14	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE15	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE16	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE17	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE18	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE19	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE2	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE20	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE3	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE4	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE5	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE6	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE7	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE8	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE9	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE_CATEGORY	Reserved for country-specific functionality.
HEADER_ID	Foreign key refernence to OE_ORDER_HEADERS_ALL; the order to which this line belongs.
IB_CURRENT_LOCATION	Current Location
IB_INSTALLED_AT_LOCATION	Installed at Location
IB_OWNER	Owner
INDUSTRY_ATTRIBUTE1	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE10	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE11	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE12	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE13	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE14	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE15	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE16	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE17	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE18	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE19	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE2	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE20	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE21	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE22	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE23	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE24	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE25	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE26	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE27	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE28	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE29	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE3	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE30	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE4	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE5	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE6	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE7	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE8	Industry specific Descriptive Flexfield segment
INDUSTRY_ATTRIBUTE9	Industry specific Descriptive Flexfield segment
INDUSTRY_CONTEXT	Descriptive Flexfield segment
INST_ID	used in RAC INSTANCE AFFINITY for context setting
INTMED_SHIP_TO_CONTACT_ID	Intermediate ship to contact id for the Line
INTMED_SHIP_TO_ORG_ID	Intermediate ship to organization id for the line
INVENTORY_ITEM_ID	Inventory Item ID
INVOICE_INTERFACE_STATUS_CODE	To indicate whether the invoicing activity is complete
INVOICE_TO_CONTACT_ID	Invoice To Contact ID
INVOICE_TO_ORG_ID	Invoice To Organization ID
INVOICED_QUANTITY	To indicate whether the invoicing activity is complete or not.
INVOICING_RULE_ID	Invoicing rule used by AR for generating Invoice
ITEM_IDENTIFIER_TYPE	To distinguish different types of items (internal, customer. and generic items)
ITEM_RELATIONSHIP_TYPE	Stores the Item Releationship Type
ITEM_REVISION	This column stores the item revision for a return line
ITEM_SUBSTITUTION_TYPE_CODE	Used to store the Item Substitution Type. It can be used to override the preferences specified in Item Substitution setup. It can also be used to turn-off substitution for the line.
ITEM_TYPE_CODE	Type of item
LAST_ACK_CODE	Latest acknowledgment code for oubound EDI transaction
LAST_ACK_DATE	Latest acknowledgment date for oubound EDI transaction
LAST_UPDATE_DATE	Standard Who column
LAST_UPDATE_LOGIN	Standard Who column
LAST_UPDATED_BY	Standard Who column
LATE_DEMAND_PENALTY_FACTOR	This column can be used to specify the 'Penalty Factor for Late Demand' on the sales order line. This value is used in Planning.
LATEST_ACCEPTABLE_DATE	Latest Date the item is acceptable.
LINE_CATEGORY_CODE	Indicates whether the line is regular or return
LINE_ID	System Generated Line Identifier.
LINE_NUMBER	Line sequence number within the order
LINE_SET_ID	Line Set id
LINE_TYPE_ID	Line Transaction Type Identifier
LINK_TO_LINE_ID	System-generated identifier of immediate parent component line
LOCK_CONTROL	Internal use only.
MARKETING_SOURCE_CODE_ID	Marketing source code identifier. Foreign key reference to CRM table AMS_SOURCE_CODE.
MFG_COMPONENT_SEQUENCE_ID	Not used
MFG_LEAD_TIME	This column stores the Manufacturing Lead time for ATO Options.
MINISITE_ID	iStore minisite ID - Foreign Key reference to IBE_MSITES_B
MODEL_GROUP_NUMBER	Currently not used
MODEL_REMNANT_FLAG	Indicates whether model has partially shipped components
OPEN_FLAG	Indicates whether the line has been closed (N) or not (Y)
OPTION_FLAG	No longer used
OPTION_NUMBER	System generated identifer for an option or a class within a model
ORDER_FIRMED_DATE	Order Firm Date
ORDER_QUANTITY_UOM	Ordered quantity Unit of measure
ORDER_SOURCE_ID	Source of order line
ORDERED_ITEM	Stores name of Ordered Item
ORDERED_ITEM_ID	Stores Id of Ordered Item
ORDERED_QUANTITY	Quantity Ordered
ORDERED_QUANTITY2	Ordered quantity in secondary inventory unit of measure
ORDERED_QUANTITY_UOM2	Ordered Quantity unit of measure
ORG_ID	Operating Unit which performed this transaction.
ORIG_SYS_DOCUMENT_REF	Original document reference for the order in external system
ORIG_SYS_LINE_REF	Identifier of line from a source system outside of Oracle Order Management
ORIG_SYS_SHIPMENT_REF	Original shipment information for the line of the order in external system
ORIGINAL_INVENTORY_ITEM_ID	Stores the Original Inventory Item when there is a substitution.
ORIGINAL_ITEM_IDENTIFIER_TYPE	Stores the Original Item Identifier Type when there is a substitution.
ORIGINAL_LIST_PRICE	Value of Original List Price
ORIGINAL_ORDERED_ITEM	Stores the Original Ordered Item when there is a substitution.
ORIGINAL_ORDERED_ITEM_ID	Stores the Original Ordered Item when there is a substitution.
OVER_SHIP_REASON_CODE	Overshipment Reason Code
OVER_SHIP_RESOLVED_FLAG	Overshipment Resolved Flag
OVERRIDE_ATP_DATE_CODE	By setting this code, User can force a 'Schedule Ship Date' , even if the supply is not available.
PACKING_INSTRUCTIONS	Packing Instructions for Line
PAYMENT_TERM_ID	Payment Terms
PAYMENT_TYPE_CODE	Stores Payment type entered at the Line Level
PLANNING_PRIORITY	Planning Priority
PRE_EXPLODED_FLAG	Is this a pre-exploded component in a BOM structure?
PREFERRED_GRADE	Grade requested by the customer
PRICE_LIST_ID	Price List
PRICE_REQUEST_CODE	Code identifies pricing transaction applied to Order Line
PRICING_ATTRIBUTE1	Pricing Related Descriptive Flexfield segment
PRICING_ATTRIBUTE10	Pricing Related Descriptive Flexfield segment
PRICING_ATTRIBUTE2	Pricing Related Descriptive Flexfield segment
PRICING_ATTRIBUTE3	Pricing Related Descriptive Flexfield segment
PRICING_ATTRIBUTE4	Pricing Related Descriptive Flexfield segment
PRICING_ATTRIBUTE5	Pricing Related Descriptive Flexfield segment
PRICING_ATTRIBUTE6	Pricing Related Descriptive Flexfield segment
PRICING_ATTRIBUTE7	Pricing Related Descriptive Flexfield segment
PRICING_ATTRIBUTE8	Pricing Related Descriptive Flexfield segment
PRICING_ATTRIBUTE9	Pricing Related Descriptive Flexfield segment
PRICING_CONTEXT	Descriptive Flexfield segment
PRICING_DATE	Determines effective list and price modifiers
PRICING_QUANTITY	Quantity based on pricing unit of measure
PRICING_QUANTITY_UOM	Unit of measure used for pricing
PROGRAM_APPLICATION_ID	Application of concurrent program that last updated row.
PROGRAM_ID	Concurrent program that last updated row.
PROGRAM_UPDATE_DATE	Last date changed by concurrent program
PROJECT_ID	Project associated with this transaction
PROMISE_DATE	Date promised to customer to receive item
RE_SOURCE_FLAG	Indicates whether user entered the warehouse or the system did
REFERENCE_CUSTOMER_TRX_LINE_ID	This column stores the invoice line id this return line references
REFERENCE_HEADER_ID	This column stores the sales order header id this return line references
REFERENCE_LINE_ID	This column stores the sales order line id this return line references
REFERENCE_TYPE	This column is now obsolete
REQUEST_DATE	Ordered Item Request date
REQUEST_ID	Concurrent request that last changed row
RETROBILL_REQUEST_ID	Retrobill Request ID - Foreign key reference to OE_RETROBILL_REQUESTS
RETURN_ATTRIBUTE1	Returns specific Descriptive Flexfield segment
RETURN_ATTRIBUTE10	Returns specific Descriptive Flexfield segment
RETURN_ATTRIBUTE11	Returns specific Descriptive Flexfield segment
RETURN_ATTRIBUTE12	Returns specific Descriptive Flexfield segment
RETURN_ATTRIBUTE13	Returns specific Descriptive Flexfield segment
RETURN_ATTRIBUTE14	Returns specific Descriptive Flexfield segment
RETURN_ATTRIBUTE15	Returns specific Descriptive Flexfield segment
RETURN_ATTRIBUTE2	Returns specific Descriptive Flexfield segment
RETURN_ATTRIBUTE3	Returns specific Descriptive Flexfield segment
RETURN_ATTRIBUTE4	Returns specific Descriptive Flexfield segment
RETURN_ATTRIBUTE5	Returns specific Descriptive Flexfield segment
RETURN_ATTRIBUTE6	Returns specific Descriptive Flexfield segment
RETURN_ATTRIBUTE7	Returns specific Descriptive Flexfield segment
RETURN_ATTRIBUTE8	Returns specific Descriptive Flexfield segment
RETURN_ATTRIBUTE9	Returns specific Descriptive Flexfield segment
RETURN_CONTEXT	Descriptive Flexfield segment
RETURN_REASON_CODE	This column stores return reason code for a return line, and is required for a return line
REVENUE_AMOUNT	For future use
REVREC_COMMENTS	Free form comments for revenue recognition acceptance or rejection
REVREC_EVENT_CODE	Revenue deferral event such as Invoicing, Acceptance.
REVREC_EXPIRATION_DAYS	To expire this # of days after revenue recognition acceptance expiration event attribute.
REVREC_IMPLICIT_FLAG	Yes = Implicit Revenue Recognition AcceptanceNo or NULL = Explicit Revenue Recognition Acceptance
REVREC_REFERENCE_DOCUMENT	Free form text area for entering information about the document that was received to confirm the revenue recognition acceptance or rejection.
REVREC_SIGNATURE	Name of the customer who accepted or rejected for revenue recognition.
REVREC_SIGNATURE_DATE	The date that the customer accepted or rejected for revenue recognition.
RLA_SCHEDULE_TYPE_CODE	Source to determine replacement eligibility and hierarchy for the netting logic.
SALES_DOCUMENT_TYPE_CODE	For Future Release
SALESREP_ID	Sales person identifier
SCHEDULE_ARRIVAL_DATE	Date Scheduled for the item to arrive at the customer site
